name,description,category,location,client_name,completion_date,project_value,key_features,challenges,solutions,image_url,gallery_images,is_featured,is_active,sort_order
"Tata Semiconductor Fab Facility, Dholera (L&T, Tata Projects)","Tata Semiconductor Fab Facility, Dholera (L&T, Tata Projects)",buildings-factories,,,,,[],,,,[],False,True,0
"Micron Semiconductor Fab Facility, Sanand (Tata Projects)","Micron Semiconductor Fab Facility, Sanand (Tata Projects)",buildings-factories,,,,,[],,,,[],False,True,0
"Adani Power / Solar Precast Elements, Mundra (Buildcast Solution - Adani)","Adani Power / Solar Precast Elements, Mundra (Buildcast Solution - Adani)",buildings-factories,,,,,[],,,,[],False,True,0
"Coke Oven Plant at AMNS, Hazira (ITD Cementation, Rohan Builders)","Coke Oven Plant at AMNS, Hazira (ITD Cementation, Rohan Builders)",buildings-factories,,,,,[],,,,[],False,True,0
"Reliance Life Sciences, Nashik (L&T)","Reliance Life Sciences, Nashik (L&T)",buildings-factories,,,,,[],,,,[],False,True,0
"Hindustan Zinc Ltd Expansion, Udaipur (L&T)","Hindustan Zinc Ltd Expansion, Udaipur (L&T)",buildings-factories,,,,,[],,,,[],False,True,0
"Gati Shakti Vidhyalaya for RVNL, Vadodara (PSP Projects)","Gati Shakti Vidhyalaya for RVNL, Vadodara (PSP Projects)",buildings-factories,,,,,[],,,,[],False,True,0
"Railway Locomotive Manufacturing Unit, Dahod (GHV Projects)","Railway Locomotive Manufacturing Unit, Dahod (GHV Projects)",buildings-factories,,,,,[],,,,[],False,True,0
"SMC New High-rise Building, Surat (PSP Projects)","SMC New High-rise Building, Surat (PSP Projects)",buildings-factories,,,,,[],,,,[],False,True,0
"Polycab Factory, Halol (Shapoorji Pallonji)","Polycab Factory, Halol (Shapoorji Pallonji)",buildings-factories,,,,,[],,,,[],False,True,0
"Fintech Towers at GIFT City, Ahmedabad (Savvy ATS)","Fintech Towers at GIFT City, Ahmedabad (Savvy ATS)",buildings-factories,,,,,[],,,,[],False,True,0
"New Government Hospital Building, Nagpur (Yashnand Engineers & Contractors)","New Government Hospital Building, Nagpur (Yashnand Engineers & Contractors)",buildings-factories,,,,,[],,,,[],False,True,0
"Ambuja Cement Plant, Marwar Mundwa (Ambuja Cements Ltd)","Ambuja Cement Plant, Marwar Mundwa (Ambuja Cements Ltd)",buildings-factories,,,,,[],,,,[],False,True,0
"EWS & LIG Housing, Pune (Yashnand Engineers & Contractors)","EWS & LIG Housing, Pune (Yashnand Engineers & Contractors)",buildings-factories,,,,,[],,,,[],False,True,0
New building at IIM Ahmedabad (PSP Projects),New building at IIM Ahmedabad (PSP Projects),buildings-factories,,,,,[],,,,[],False,True,0
"Jamrani Dam, Uttarakhand (Afcons Infra)","Jamrani Dam, Uttarakhand (Afcons Infra)",others,,,,,[],,,,[],False,True,0
"Upper High Level Canal (UHLC), Mahi Bajaj Sagar Project, Banswara (SCC Infra)","Upper High Level Canal (UHLC), Mahi Bajaj Sagar Project, Banswara (SCC Infra)",others,,,,,[],,,,[],False,True,0
Dholera Smart City (L&T),Dholera Smart City (L&T),others,,,,,[],,,,[],False,True,0
