name,description,price,category_id,applications,features,image_url,is_active,usage,advantages,technical_specifications,packaging_info,safety_information,product_code,specification_pdf
YP Floor HD NM,Non-Metallic Monolithic Surface Hardener for Concrete Floors,,floor-hardeners,"[""Heavy-duty industrial floors like workshops and machine shops."", ""High-traffic zones such as loading bays and trucking lanes.""]",[],,True,,"Provides a hard, abrasion resistant surface
Forms monolithic bond with base concrete",,,,,
YP Micro Silica,Densified Silica Fume,,micro-silica,"[""High-strength concrete"", ""Waterproof structures like tunnels and basements""]",[],,True,,"Increases strength and durability of concrete
Reduces permeability and improves chemical resistance",,,,,
YP Bond EP,Epoxy resin concrete bonding agent,,structural-bonding,"[""Bonds old concrete to new concrete"", ""Used in structural concrete repairs""]",[],,True,,"Allows longer concrete placement without risk of delamination.
Provides bond strength higher than concrete’s tensile strength",,,,,
Yahska SBA25,Segmental bridge adhesive for use at +25°C to +45°C ,,structural-bonding,"[""Segmental bridge construction""]",[],,True,,"Provides a watertight joint between segments
Transfers the loading stresses between segments",,,,,
YP SBR 100,"Water resistant, styrene butadiene rubber based bonding agent and mortar additive",,structural-bonding,"[""Bonding agent for concrete and plaster repair"", ""Modifier for waterproof screeds and mortars""]",[],,True,,"Improves bond strength and flexibility
Enhances water resistance and durability",,,,,
AntiCorr FG,Bipolar corrosion inhibiting concrete admixture,,corrosion-inhibitor,"[""Extends life of reinforced concrete in corrosive environments"", ""Used in repair and protection of RCC structures""]",[],,True,,"Protects both anodic and cathodic zones of rebar
Reduces corrosion without increasing concrete resistivity",,,,,
AntiCorr CN,Corrosion Inhibiting Admixture based on Nitrite ,,corrosion-inhibitor,"[""Added to new concrete for corrosion protection of steel"", ""Ideal for marine"", ""coastal"", ""and chloride-exposed structures""]",[],,True,,"Forms protective layer on steel reinforcement
Minimizes corrosion from chlorides and aggressive agents",,,,,
MR50w,New generation water emulsion mould release agent ,,mould-release-agent,"[""Provides easy"", ""stain-free release for concrete molds.​"", ""Suitable for all types of molds and formwork.​""]",[],,True,,"Non-staining formula eliminates unsightly oil marks.​
Concentrated, water-based solution reduces cost.",,,,,
MR100,"High performance environmental friendly
mould release agent",,mould-release-agent,"[""Facilitates clean stripping of various formwork types.​"", ""Ensures high-quality"", ""fair-faced concrete finishes""]",[],,True,,"Minimizes surface blemishes and staining on concrete.​
Reduces cleaning time between formwork reuses",,,,,
YP CP Lube,Pump Priming Aid,,other,"[""Pumping of Standard concrete & shotcretes""]",[],,True,,"Economical compared to use of cement slurry.
No adverse effect on concrete set time.
",,,,,
YP Polysulphide PG,Two component pour grade Polysulphide sealant,,other,"[""Precast concrete elements"", ""Rigid pavements of highways"", ""airport runways"", ""etc""]",[],,True,,"Excellent adhesion with most common construction
materials
High movement accommodation",,,,,
YP DF 100,Soil Stabilization Powder Polymer,,other,"[""Horizontal Directional Drilling (HDD)"", ""Piling"", ""D-Wall"", ""etc""]",[],,True,,"Strengthens the bore by increasing cohesiveness in loose particles 
Controls the fluid loss, thus reducing the overall cost
",,,,,
YP TileMaster V,"Cementitious, polymer based general purpose tile fixing adhesive",,other,"[""Fixing ceramic and vitrified tiles on floors and walls"", ""Tiling on internal surfaces like kitchens and bathrooms""]",[],,True,,"Strong bond with vertical and horizontal surfaces
Easy mixing and application with good open time",,,,,
